S,"select B.TOPUP_MOBILE_NO as FILE_MOBILE_NO, PMDB..PM_F_FORMAT_DATE(B.PAYMENT_DATE,'YYYY-MM-DD') as FILE_PAYMENT_DATE, B.PAYMENT_TIME as FILE_PAYMENT_TIME, B.REVERSAL_AMT as FILE_REVERSAL_AMT, B.BATCH_NO as FILE_BATCH_NO, B.BILLING_SYSTEM as FILE_BILLING_SYSTEM, CN.CN_NO, PMDB..PM_F_FORMAT_DATE(CN.CN_DATE, 'YYYY-MM-DD') as CN_DATE, CN.MODE as CN_MODE, CN.CN_LOCATION_CODE, CT.CATEGORY_ABBR as CN_CATEGORY_ABBR, CN.BANK_CODE as CN_BANK_CODE, convert(varchar(2),BOP.BOP_CODE) as CN_BOP, convert(varchar(5),SBOP.SUB_BOP_CODE) as CN_SUB_BOP, CN.CN_STATUS, CN.RECEIPT_SENDING as CN_RECEIPT_SENDING, CN.CN_TYPE, CN.USER_ID as CN_USER_ID, CN.REFUND_TOTAL_AMT as CN_REFUND_TOTAL_AMT, CN.REFUND_TYPE as CN_REFUND_TYPE, CN.MOBILE_NO as CN_MOBILE_NO, CD.CN_DTL_ID, CD.REFUND_TOTAL_AMT as CN_DTL_REFUND_TOTAL_AMT, CN.REF_DOC_TYPE as CN_REF_DOC_TYPE from PMDB..PM_BATCH_RVS B inner join PMDB..PM_BATCH_RVS_CREDIT_NOTE BRC on (B.RVS_ID = BRC.RVS_ID) inner join PMDB..PM_PREPAID_LOAD_BATCH L on (B.BATCH_ID = L.BATCH_ID) left join PMDB..PM_CREDIT_NOTE CN on (BRC.CN_ID = CN.CN_ID and BRC.CN_DATE = CN.CN_DATE) left join PMDB..PM_CREDIT_NOTE_DTL CD on (CN.CN_ID = CD.CN_ID and CN.CN_DATE = CD.CN_DATE) left join PMDB..PM_BUSINESS_OF_PAYMENT BOP on (CN.BOP_ID = BOP.BOP_ID) left join PMDB..PM_PAYMENT_CATEGORY CT on (CN.CATEGORY_CODE = CT.CATEGORY_CODE) left join PMDB..PM_SUB_BUSINESS_OF_PAYMENT SBOP on (CD.SUB_BOP_ID = SBOP.SUB_BOP_ID) where L.ORDER_ID = @order_id and CD.REFUND_TOTAL_AMT = 2.07",
F,FILE_MOBILE_NO,0854000673
F,FILE_PAYMENT_DATE,2017-06-16
F,FILE_PAYMENT_TIME,14:10:47
F,FILE_REVERSAL_AMT,3.07
F,FILE_BATCH_NO,17061614104723456789
F,FILE_BILLING_SYSTEM,BOS
F,CN_NO,*
F,CN_DATE,2017-06-16
F,CN_MODE,BA
F,CN_LOCATION_CODE,1020
F,CN_CATEGORY_ABBR,RM
F,CN_BANK_CODE,501
F,CN_BOP,P
F,CN_SUB_BOP,RV
F,CN_STATUS,N
F,CN_RECEIPT_SENDING,NO
F,CN_TYPE,NP
F,CN_USER_ID,CLMD
F,CN_REFUND_TOTAL_AMT,3.07
F,CN_REFUND_TYPE,SA
F,CN_MOBILE_NO,0854000673
F,CN_DTL_ID,*
F,CN_DTL_REFUND_TOTAL_AMT,2.07
F,CN_REF_DOC_TYPE,RE
